Genes	Inflammatory	Goblet-like	Enterocyte	TA	Stem-like
SFRP2	0	-0.2776	0	-0.2306	0.879
MGP	0	-0.1888	0	-0.1475	0.7035
COL10A1	0	-0.1584	-0.1232	-0.1319	0.6845
MSRB3	0	-0.1956	0	-0.1123	0.6763
CYP1B1	0	-0.0152	-0.1274	-0.1626	0.6511
FNDC1	0	-0.1582	-0.0326	-0.0494	0.6486
SFRP4	0	-0.0988	-0.133	0	0.647
GAS1	0.0412	-0.15	-0.0838	-0.2186	0.6455
CCDC80	0	-0.1613	0	-0.1424	0.6364
SPOCK1	0	-0.152	-0.0326	-0.1235	0.6318
THBS2	0	-0.1923	-0.148	-0.0586	0.6214
MFAP5	0	-0.1392	0	-0.0635	0.6137
ASPN	0	-0.151	-0.0018	-0.0499	0.6115
TNS1	0	-0.2049	0	-0.1083	0.6071
TAGLN	0	-0.1607	0	-0.1298	0.6043
COMP	0	0	-0.1835	0	0.5813
NTM	0	-0.1099	-0.119	-0.0708	0.5714
HOPX	0	-0.1438	-0.0138	-0.135	0.5637
AEBP1	0	-0.0861	-0.0086	-0.1081	0.5552
FRMD6	0	-0.1576	0	-0.168	0.5545
PLN	0	-0.1089	0	-0.1183	0.5532
FBN1	0	-0.149	0	-0.1139	0.5529
COL11A1	0	-0.1542	-0.2209	-0.026	0.5523
ANTXR1	0	-0.1075	0	-0.0794	0.5469
MIR100HG	0	-0.0574	0	-0.0351	0.543
PCDH7	0	-0.0985	0	-0.0669	0.5417
DDR2	0	-0.1251	0	-0.1375	0.5383
MYL9	0	-0.2042	0	0	0.5359
FERMT2	0	-0.1167	0	-0.0515	0.5291
VCAN	0	-0.0782	0	-0.0715	0.5162
CDH11	0	0	0	-0.0454	0.5127
SYNPO2	-0.0719	-0.1083	0	-0.0712	0.5068
SULF1	0	-0.2186	0	-0.0949	0.5062
FAP	0	-0.0265	-0.0647	-0.1393	0.5032
COL3A1	0	-0.0794	-0.0304	-0.1117	0.5029
CTHRC1	0	-0.1881	-0.0265	-0.0779	0.5023
ADAM12	0	-0.0799	-0.1009	-0.1043	0.5004
COL1A2	0	-0.079	0	-0.0861	0.5003
TIMP2	0	-0.1207	0	-0.1334	0.4964
PRRX1	0.0088	-0.117	-0.0297	-0.1347	0.4919
BGN	0	-0.1115	-0.0389	-0.0659	0.4905
GLT8D2	0	-0.0607	0	-0.0853	0.4893
DCN	0	-0.1514	0	-0.1093	0.4874
FABP4	0	-0.0096	0	-0.0303	0.4815
FBLN1	0	-0.1223	0	-0.0202	0.4789
EFEMP1	0	-0.105	0	-0.0602	0.4771
VGLL3	0	-0.0853	-0.0418	-0.0742	0.4769
SPARC	0	-0.1186	0	-0.0553	0.4726
ITGBL1	0	-0.0379	-0.1163	0	0.4715
AKAP12	0	-0.1005	0	-0.0313	0.4705
INHBA	0	-0.0115	-0.0995	-0.0605	0.4705
COL5A2	0	-0.1055	-0.031	-0.0409	0.4672
RAB31	0.0435	-0.1527	0	-0.2026	0.4666
ISLR	0	-0.1724	0	0	0.4604
STON1	0	-0.0541	0	0	0.4559
NOX4	0	-0.0082	-0.1679	-0.0011	0.4553
